sku;product-id;product-id-type;price;quantity;state;update-delete;canon;tipo-iva
DT35TSR-359;8435739902837;EAN;68,02;1;11;update;0.00;21.00
DT35TSR-361;8435739902844;EAN;56,64;1;11;update;0.00;21.00
DT32TSR-355;8435739902851;EAN;27,95;1;11;update;0.00;21.00
DT32TSR-357;8435739902868;EAN;42,51;2;11;update;0.00;21.00
ASUC-4P021-GR;8435739902936;EAN;25,20;1;11;update;0.00;21.00
COO-SOP-M02;8436624420160;EAN;29,64;2;11;update;0.00;21.00
COO-SOP-M02D;8436624420177;EAN;41,90;2;11;update;0.00;21.00
COO-SOP-MP01;8436624420184;EAN;36,20;10;11;update;0.00;21.00
COO-ATRIL-02;8436624420368;EAN;23,25;16;11;update;0.00;21.00
FS2290HM-B;8433281014572;EAN;216,40;73;11;update;0.00;21.00
CK-CAD-FL400-01;8716309100588;EAN;9,90;20;11;update;0.00;21.00
WT100F-365;8435739902998;EAN;24,66;1;11;update;0.00;21.00
WT100T-367;8435739903001;EAN;26,12;1;11;update;0.00;21.00
FT86FE-369;8435739903032;EAN;186,21;122;11;update;0.00;21.00
DT24TSR-371;8435739903049;EAN;21,14;0;11;update;0.00;21.00
DT32TSR-373;8435739903056;EAN;32,53;2;11;update;0.00;21.00
